# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1664954581.649762153625488,0.00642,0.00107,0.00157,0.00000,0.00000,0.00410,0.01316
1664954581.751755952835083,0.00518,0.00030,0.00262,0.00000,0.00477,0.00204,0.01491
1664954581.851924419403076,0.00380,0.00033,0.00002,0.00154,0.00000,0.00203,0.00772
1664954581.952455520629883,0.00532,0.00033,0.00001,0.00137,0.00000,0.00225,0.00928
1664954582.052631616592407,0.00433,0.00036,0.00006,0.00133,0.00011,0.00222,0.00842
1664954582.152527332305908,0.00965,0.00033,0.00004,0.00140,0.00000,0.00222,0.01364
1664954582.252336978912354,0.00496,0.00035,0.00020,0.00128,0.00000,0.00222,0.00901
1664954582.352372407913208,0.00581,0.00035,0.00003,0.00128,0.00012,0.00208,0.00967
1664954582.452395200729370,0.00735,0.00042,0.00108,0.00150,0.00187,0.00243,0.01465
1664954582.552479982376099,0.00612,0.00046,0.00075,0.00175,0.00427,0.00395,0.01730
1664954582.652807235717773,0.01203,0.00090,0.00055,0.00244,0.00021,0.00295,0.01907
1664954582.752714157104492,0.00564,0.00037,0.00102,0.00159,0.00405,0.00210,0.01477
1664954582.852553129196167,0.00646,0.00034,0.00072,0.00219,0.00010,0.00267,0.01247
1664954582.952638387680054,0.00606,0.00049,0.00355,0.00133,0.00379,0.00285,0.01807
1664954583.052587985992432,0.00515,0.00036,0.00039,0.00156,0.00003,0.00211,0.00959
1664954583.152416467666626,0.00554,0.00035,0.00023,0.00134,0.00266,0.00248,0.01261
1664954583.252373695373535,0.00464,0.00049,0.00028,0.00180,0.00011,0.00211,0.00943
1664954583.352349042892456,0.00647,0.00035,0.00018,0.00200,0.00001,0.00239,0.01140
1664954583.452353000640869,0.00479,0.00033,0.00006,0.00195,0.00001,0.00261,0.00975
1664954583.552528619766235,0.00678,0.00040,0.00014,0.00195,0.00377,0.00266,0.01571
1664954583.652556657791138,0.00632,0.00033,0.00089,0.00164,0.00019,0.00225,0.01161
1664954583.752405881881714,0.00617,0.00047,0.00045,0.00180,0.00004,0.00258,0.01151
1664954583.852420091629028,0.00484,0.00037,0.00055,0.00110,0.00182,0.00321,0.01189
1664954583.952344179153442,0.00611,0.00034,0.00010,0.00156,0.00020,0.00322,0.01154
