# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1666059841.351533651351929,0.00601,0.00027,0.00919,0.00000,0.00002,0.00422,0.01972
1666059841.451067209243774,0.00321,0.00028,0.00088,0.00000,0.00106,0.00114,0.00658
1666059841.551771163940430,0.00522,0.00041,0.00201,0.00012,0.00000,0.00129,0.00905
1666059841.651615142822266,0.00323,0.00032,0.00186,0.00009,0.00000,0.00402,0.00953
1666059841.751532793045044,0.00629,0.00030,0.00045,0.00004,0.00000,0.00135,0.00842
1666059841.851625204086304,0.00502,0.00060,0.00032,0.00005,0.00000,0.00585,0.01184
1666059841.951563119888306,0.01007,0.00042,0.00024,0.00004,0.00000,0.00136,0.01213
1666059842.051444768905640,0.00766,0.00074,0.00127,0.00012,0.00000,0.00464,0.01444
1666059842.151415824890137,0.00993,0.00040,0.00083,0.00005,0.00000,0.00167,0.01288
1666059842.251879692077637,0.00434,0.00036,0.00208,0.00019,0.00409,0.00375,0.01481
1666059842.351868391036987,0.01308,0.00043,0.00054,0.00012,0.00038,0.00149,0.01605
1666059842.451802492141724,0.01169,0.00031,0.00329,0.00018,0.00453,0.00171,0.02171
1666059842.551856994628906,0.00588,0.00062,0.00071,0.00050,0.00001,0.00349,0.01120
1666059842.652039527893066,0.01194,0.00249,0.00377,0.00025,0.01011,0.00137,0.02993
1666059842.752146959304810,0.00989,0.00055,0.00137,0.00212,0.01326,0.00161,0.02880
1666059842.852186918258667,0.01071,0.00080,0.00204,0.00278,0.01176,0.00172,0.02981
1666059842.952234983444214,0.01200,0.00235,0.00094,0.00581,0.00001,0.00289,0.02399
1666059843.052166223526001,0.01173,0.00056,0.00158,0.00340,0.00001,0.00366,0.02094
1666059843.151936054229736,0.01092,0.00140,0.00468,0.00197,0.00247,0.00139,0.02283
1666059843.251764297485352,0.01456,0.00054,0.00167,0.00154,0.00000,0.00123,0.01955
1666059843.351847171783447,0.01331,0.00072,0.00356,0.00426,0.00000,0.00216,0.02401
1666059843.452086210250854,0.01454,0.00053,0.00291,0.00175,0.00002,0.00400,0.02374
1666059843.551992416381836,0.01512,0.00061,0.00079,0.00063,0.00212,0.00124,0.02052
1666059843.651961326599121,0.00934,0.00039,0.00030,0.00082,0.00001,0.00145,0.01231
1666059843.752004861831665,0.01132,0.00057,0.00074,0.00053,0.00298,0.00139,0.01754
1666059843.851984500885010,0.01524,0.00115,0.00653,0.00148,0.00952,0.00155,0.03545
1666059843.951968908309937,0.02440,0.00064,0.00169,0.00151,0.00182,0.00138,0.03145
1666059844.051990032196045,0.01127,0.00080,0.00302,0.00362,0.00004,0.00293,0.02168
1666059844.151984691619873,0.00698,0.00038,0.00146,0.00291,0.00001,0.00211,0.01386
1666059844.251954793930054,0.00503,0.00059,0.00046,0.00467,0.00000,0.00202,0.01277
1666059844.351908922195435,0.00861,0.00037,0.00083,0.00108,0.00053,0.00151,0.01293
1666059844.451886892318726,0.01957,0.00071,0.00181,0.00106,0.00086,0.00121,0.02523
1666059844.551858901977539,0.00953,0.00086,0.00063,0.00312,0.00115,0.00145,0.01675
1666059844.651849269866943,0.01370,0.00118,0.00051,0.00199,0.00004,0.00343,0.02085
1666059844.751874208450317,0.01043,0.00067,0.00110,0.00276,0.00028,0.00496,0.02021
1666059844.851883172988892,0.00778,0.00061,0.00106,0.00166,0.00510,0.00150,0.01771
1666059844.951894283294678,0.00877,0.00038,0.00149,0.00103,0.00043,0.00130,0.01341
1666059845.051898717880249,0.00388,0.00032,0.00493,0.00153,0.00265,0.00147,0.01478
1666059845.151887178421021,0.01466,0.00067,0.00142,0.00564,0.00139,0.00160,0.02538
1666059845.251896858215332,0.01018,0.00079,0.00461,0.00093,0.00007,0.00128,0.01787
1666059845.351881265640259,0.01265,0.00066,0.00136,0.00221,0.00001,0.00492,0.02180
1666059845.451881885528564,0.01009,0.00044,0.00184,0.00284,0.00133,0.00283,0.01935
1666059845.551856040954590,0.01067,0.00062,0.00125,0.00201,0.00804,0.00173,0.02432
1666059845.651859998703003,0.00790,0.00193,0.00100,0.00109,0.00330,0.00245,0.01768
1666059845.751924753189087,0.01559,0.00080,0.00140,0.00122,0.00257,0.00184,0.02341
1666059845.851900339126587,0.01167,0.00162,0.00256,0.00156,0.00678,0.00283,0.02701
1666059845.951868057250977,0.00848,0.00043,0.00047,0.00102,0.00114,0.00156,0.01310
1666059846.051882266998291,0.00841,0.00164,0.00421,0.00285,0.00128,0.00233,0.02074
1666059846.151898145675659,0.01757,0.00156,0.00731,0.00562,0.00503,0.00541,0.04249
1666059846.251894712448120,0.01126,0.00254,0.00210,0.00181,0.00416,0.00129,0.02315
1666059846.351917982101440,0.00526,0.00037,0.00099,0.00114,0.00043,0.00130,0.00949
1666059846.451892852783203,0.01052,0.00039,0.00216,0.00103,0.00334,0.00174,0.01919
1666059846.551873207092285,0.01167,0.00117,0.00153,0.00122,0.00275,0.00125,0.01959
1666059846.651831150054932,0.00911,0.00064,0.00072,0.00730,0.00559,0.00165,0.02501
1666059846.751864194869995,0.01780,0.00074,0.00155,0.00378,0.00249,0.00235,0.02871
1666059846.851858615875244,0.00971,0.00043,0.00094,0.00108,0.00220,0.00226,0.01663
1666059846.951861858367920,0.01656,0.00061,0.00090,0.00150,0.00000,0.00209,0.02167
1666059847.051877021789551,0.00859,0.00036,0.00104,0.00081,0.00144,0.00230,0.01455
1666059847.151931524276733,0.00720,0.00061,0.00349,0.00406,0.00269,0.00136,0.01942
1666059847.251927375793457,0.01854,0.00147,0.00126,0.00154,0.00000,0.00161,0.02442
1666059847.351885557174683,0.01263,0.00097,0.00247,0.00429,0.00631,0.00164,0.02830
1666059847.451892614364624,0.01511,0.00080,0.00184,0.00173,0.00245,0.00244,0.02438
1666059847.551901578903198,0.01306,0.00207,0.00240,0.00178,0.00000,0.00150,0.02081
1666059847.651917934417725,0.00958,0.00072,0.00064,0.00266,0.00037,0.00238,0.01634
1666059847.751913547515869,0.01026,0.00180,0.00110,0.00396,0.00007,0.00197,0.01916
1666059847.851922512054443,0.00701,0.00046,0.00055,0.00100,0.00487,0.00177,0.01567
1666059847.951886653900146,0.01275,0.00090,0.00218,0.00181,0.00003,0.00466,0.02232
1666059848.051864385604858,0.00607,0.00042,0.00255,0.00143,0.00576,0.00147,0.01770
1666059848.151832103729248,0.00914,0.00093,0.00852,0.00186,0.00001,0.00144,0.02190
1666059848.251833915710449,0.01135,0.00060,0.00233,0.00127,0.00153,0.00134,0.01842
1666059848.351842403411865,0.01346,0.00036,0.00098,0.00170,0.00006,0.00331,0.01987
1666059848.451824665069580,0.01412,0.00060,0.00131,0.00168,0.00324,0.00197,0.02292
1666059848.551821708679199,0.00417,0.00038,0.00109,0.00133,0.00593,0.00183,0.01474
1666059848.651797056198120,0.00595,0.00033,0.00046,0.00104,0.00125,0.00146,0.01049
1666059848.751810312271118,0.01113,0.00044,0.00271,0.00283,0.00000,0.00189,0.01900
1666059848.851821660995483,0.01299,0.00064,0.00019,0.00272,0.00075,0.00371,0.02100
1666059848.951792001724243,0.00951,0.00129,0.00060,0.00616,0.00099,0.00178,0.02034
1666059849.051788091659546,0.00404,0.00042,0.00070,0.00197,0.00014,0.00282,0.01010
1666059849.151809453964233,0.01033,0.00038,0.00057,0.00120,0.00129,0.00142,0.01519
1666059849.251786708831787,0.01000,0.00265,0.00329,0.00421,0.00109,0.00468,0.02591
1666059849.351728677749634,0.01320,0.00094,0.00398,0.00832,0.00428,0.00147,0.03220
1666059849.451732397079468,0.01125,0.00073,0.00258,0.00275,0.00703,0.00145,0.02580
1666059849.551729440689087,0.01381,0.00054,0.00078,0.00168,0.00327,0.00391,0.02400
1666059849.651722431182861,0.01418,0.00077,0.00410,0.00443,0.00152,0.00134,0.02633
1666059849.751721620559692,0.01674,0.00199,0.00514,0.00362,0.00100,0.00158,0.03008
1666059849.851695537567139,0.00651,0.00065,0.00768,0.00176,0.00068,0.00127,0.01855
1666059849.951675653457642,0.00703,0.00061,0.00091,0.00420,0.00003,0.00350,0.01629
