# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1666059841.35050 0.001560 -0.897460 0.010114 -0.001648 -0.001730 -0.701875 0.712296 0.0000306197 -0.0000052018 0.0000266566 0.0001172863 -0.0000171573 0.0004999027 0.0031308230 -0.0001093748 0.0000252178 0.0094695660 0.0005230108 0.0028727674
1666059841.45138 -0.000780 -1.021828 -0.010285 -0.001396 -0.002370 -0.701182 0.712977 0.0000095936 0.0000000088 0.0000021683 0.0000094109 -0.0000003790 0.0004202814 0.0030224495 0.0000028730 0.0000058527 0.0029436572 0.0000272929 0.0026030118
1666059841.55187 -0.000520 -1.116535 -0.011180 -0.001074 -0.002721 -0.701989 0.712182 0.0000100448 0.0000001359 0.0000039392 0.0000090193 0.0000004904 0.0004189744 0.0031289383 0.0000035656 0.0000074631 0.0029794315 0.0000306821 0.0026097596
1666059841.65196 -0.000289 -1.212887 -0.012303 -0.001328 -0.003688 -0.700872 0.713277 0.0000099282 0.0000001114 0.0000050892 0.0000086361 0.0000009644 0.0004178022 0.0032190866 0.0000070232 0.0000091330 0.0030169234 0.0000360739 0.0026176866
1666059841.75206 0.000947 -1.319011 -0.009977 -0.001325 -0.004246 -0.700580 0.713560 0.0000090005 0.0000001976 0.0000051958 0.0000080512 0.0000016916 0.0004166161 0.0033319527 0.0000081638 0.0000094675 0.0030265070 0.0000368963 0.0026239761
1666059841.85242 0.000672 -1.438302 -0.009994 -0.000807 -0.003918 -0.700314 0.713823 0.0000090116 0.0000001016 0.0000052167 0.0000080506 0.0000017810 0.0004168364 0.0034748428 0.0000117310 0.0000108675 0.0030902863 0.0000433203 0.0026349531
1666059841.95242 0.002755 -1.573035 -0.014814 0.003163 0.001057 -0.699382 0.714741 0.0000085322 -0.0000001579 -0.0000002317 0.0000078772 0.0000013237 0.0004166277 0.0036462378 0.0000128782 0.0000105547 0.0031595659 0.0000476106 0.0026440455
1666059842.05211 0.004140 -1.721555 -0.020508 0.010731 0.009394 -0.698470 0.715497 0.0000084375 -0.0000001917 -0.0000090728 0.0000079222 0.0000009049 0.0004170775 0.0038518663 0.0000163778 0.0000109752 0.0032275858 0.0000547318 0.0026577851
1666059842.15168 0.012656 -1.840318 -0.017513 0.008898 0.007383 -0.700558 0.713502 0.0000073946 -0.0000004627 -0.0000081416 0.0000068916 0.0000020760 0.0004135755 0.0040265091 0.0000002478 0.0000029800 0.0032742808 0.0000517647 0.0026518431
1666059842.25182 0.008752 -1.962661 -0.016126 0.006438 0.000865 -0.700661 0.713465 0.0000069672 -0.0000004365 -0.0000028902 0.0000067862 0.0000030349 0.0004134154 0.0041964507 0.0000076073 0.0000035920 0.0033713008 0.0000585865 0.0026625833
